Title 	 TargetName 	 SourceType 	 BkgTarget 	 EffExp [s] 	 RA 	 DEC 	 ASN 	 DataProblem 	 FileName 
NIRSpec & MIRI Integral-Field Spectroscopy of the Nucleus of Mrk 231	Markarian 231 Nucleus	EXTENDED	False	1565.1239999999996	194.05926836984582	56.87370310123074	jw01268_20240701t150203_pool.csv	False	jw01268-o001_t001_miri
!!!MIRI EC Protoplanetary and Debris Disks Survey!!!	VW-Cha	POINT	False	1831.524	167.0051622708112	-77.70789187951871	jw01282_20241001t050842_pool.csv	False	jw01282-o031_t034_miri
!!!MIRI EC Protoplanetary and Debris Disks Survey!!!	DF-Tau	POINT	False	1831.524	66.76159393784333	25.70608858851458	jw01282_20241001t050842_pool.csv	False	jw01282-o003_t009_miri
!!!MIRI EC Protostars Survey!!!		UNKNOWN	True	599.406	277.4510220282646	1.2406250141947792	jw01290_20240702t102756_pool.csv	False	jw01290-o016_t023_miri
!!!MIRI EC Protoplanetary and Debris Disks Survey!!!	2MASS-J11085090-7625135	POINT	False	3696.348	167.21141078191943	-76.42042560230729	jw01282_20241001t050842_pool.csv	False	jw01282-o052_t055_miri
!!!Coronographic Observations of Young Exoplanets and Spectroscopic Observations of ROSS 458 C!!!	BD+13 2618C-new	POINT	False	3330.048	195.17096591022204	12.353978814511722	jw01277_20240701t190030_pool.csv	False	jw01277-o025_t013_miri
Resolving the Cooling Flow at the Center of the Phoenix Cluster	Phoenix Cluster BCG	EXTENDED	False	33254.772	356.1829171461232	-42.7200288158385	jw02439_20240708t235742_pool.csv	False	jw02439-o001_t001_miri
!!!Kuiper Belt Science with JWST!!!	459865 (2013 XZ8)	POINT	False	5577.828	227.4733649541262	-33.69515396785541	jw01272_20240701t171142_pool.csv	False	jw01272-o004_t002_miri
!!!Kuiper Belt Science with JWST!!!	PLUTO	POINT	False	3063.648	302.75877247025585	-22.55866548223799	jw01191_20240629t225113_pool.csv	False	jw01191-o002_t001_miri
!!!Neptune!!!	NEPTUNE	EXTENDED	False	1165.512	358.0659065253989	-2.166852986978403	jw01249_20240701t060042_pool.csv	False	jw01249-o002_t001_miri
!!!NIRSpec & MIRI Integral-Field Spectroscopy of the Nucleus of Mrk 231!!!		EXTENDED	True	782.562	194.045394082376	56.87658845834567	jw01268_20240701t150203_pool.csv	False	jw01268-o002_t002_miri
!!!MIRI External Flat Field - MRS!!!	NGC 6543	UNKNOWN	False	7642.4580000000005	269.63608803644104	66.63133450009491	jw01047_20240717t031258_pool.csv	False	jw01047-o001_t006_miri
!!!MIRI EC Protoplanetary and Debris Disks Survey!!!	IRS46	POINT	False	1831.524	246.87248032335157	-24.654629846196823	jw01282_20241001t050842_pool.csv	False	jw01282-o015_t020_miri
Protostellar Binaries	WL20	UNKNOWN	False	1698.324	246.81568243854082	-24.645603426972905	jw01236_20240701t000531_pool.csv	False	jw01236-o011_t011_miri
!!!MIRI EC Protoplanetary and Debris Disks Survey!!!	Sz98	POINT	False	2497.536	242.09358585207053	-39.07967756279402	jw01282_20241001t050842_pool.csv	False	jw01282-o064_t060_miri
!!!CAR MIRI-015 (MRS): MIRI MRS Spectral Resolution and Dispersion!!!	HD 192163	POINT	False	965.712	303.02717249641375	38.35491371111468	jw01031_20240716t181734_pool.csv	False	jw01031-o003_t014_miri
